hierarchy_code,channel,budget
60001,Ecom,144000
60001,Indirect,78000
60001,Store,39000
60002,Ecom,212000
60002,Indirect,116000
60002,Store,58000
60003,Ecom,178000
60003,Indirect,97000
60003,Store,48000
60004,Ecom,176000
60004,Indirect,96000
60004,Store,48000
60005,Ecom,129000
60005,Indirect,70000
60005,Store,35000
60006,Ecom,157000
60006,Indirect,86000
60006,Store,43000
60007,Ecom,72000
60007,Indirect,43000
60007,Store,28000
60008,Ecom,192000
60008,Indirect,115000
60008,Store,77000
60009,Ecom,489000
60009,Indirect,293000
60009,Store,195000
60010,Ecom,154000
60010,Indirect,92000
60010,Store,61000
60011,Ecom,244000
60011,Indirect,146000
60011,Store,97000
60012,Ecom,238000
60012,Indirect,143000
60012,Store,95000
60013,Ecom,149000
60013,Indirect,89000
60013,Store,59000
60014,Ecom,93000
60014,Indirect,56000
60014,Store,37000
60015,Ecom,77000
60015,Indirect,46000
60015,Store,30000
60016,Ecom,149000
60016,Indirect,89000
60016,Store,59000
60017,Ecom,365000
60017,Indirect,219000
60017,Store,146000
60018,Ecom,236000
60018,Indirect,141000
60018,Store,94000
60019,Ecom,226000
60019,Indirect,136000
60019,Store,90000
60020,Ecom,166000
60020,Indirect,99000
60020,Store,66000
60021,Ecom,277000
60021,Indirect,166000
60021,Store,110000
60022,Ecom,123000
60022,Indirect,74000
60022,Store,49000
60023,Ecom,64000
60023,Indirect,38000
60023,Store,25000
60024,Ecom,230000
60024,Indirect,138000
60024,Store,92000
60025,Ecom,322000
60025,Indirect,193000
60025,Store,128000
60026,Ecom,184000
60026,Indirect,110000
60026,Store,73000
60027,Ecom,117000
60027,Indirect,70000
60027,Store,46000
60028,Ecom,208000
60028,Indirect,125000
60028,Store,83000
60029,Ecom,187000
60029,Indirect,112000
60029,Store,74000
60030,Ecom,72000
60030,Indirect,43000
60030,Store,28000
60031,Ecom,77000
60031,Indirect,46000
60031,Store,30000
60032,Ecom,239000
60032,Indirect,143000
60032,Store,95000
60033,Ecom,445000
60033,Indirect,267000
60033,Store,178000
60034,Ecom,284000
60034,Indirect,170000
60034,Store,113000
60035,Ecom,299000
60035,Indirect,179000
60035,Store,119000
60036,Ecom,149000
60036,Indirect,89000
60036,Store,59000
60037,Ecom,167000
60037,Indirect,100000
60037,Store,66000
60038,Ecom,90000
60038,Indirect,54000
60038,Store,36000
60039,Ecom,66000
60039,Indirect,39000
60039,Store,26000
60040,Ecom,265000
60040,Indirect,159000
60040,Store,106000
60041,Ecom,298000
60041,Indirect,179000
60041,Store,119000
60042,Ecom,442000
60042,Indirect,265000
60042,Store,177000
60043,Ecom,477000
60043,Indirect,286000
60043,Store,190000
60044,Ecom,126000
60044,Indirect,75000
60044,Store,50000
60045,Ecom,182000
60045,Indirect,109000
60045,Store,73000
60046,Ecom,139000
60046,Indirect,83000
60046,Store,55000
60047,Ecom,175000
60047,Indirect,105000
60047,Store,70000
60048,Ecom,364000
60048,Indirect,218000
60048,Store,145000
60049,Ecom,381000
60049,Indirect,228000
60049,Store,152000
60050,Ecom,180000
60050,Indirect,108000
60050,Store,72000
60051,Ecom,360000
60051,Indirect,216000
60051,Store,144000
60052,Ecom,90000
60052,Indirect,54000
60052,Store,36000
60053,Ecom,369000
60053,Indirect,221000
60053,Store,147000
60054,Ecom,88000
60054,Indirect,52000
60054,Store,35000
60055,Ecom,108000
60055,Indirect,64000
60055,Store,43000
60056,Ecom,237000
60056,Indirect,142000
60056,Store,95000
60057,Ecom,583000
60057,Indirect,349000
60057,Store,233000
60058,Ecom,391000
60058,Indirect,234000
60058,Store,156000
60059,Ecom,256000
60059,Indirect,153000
60059,Store,102000
60060,Ecom,98000
60060,Indirect,58000
60060,Store,39000
