hierarchy_code,channel,year,week_num,units,discount_perc
60001,Ecom,2024,1,20,0.02
60001,Ecom,2025,1,18,0.03
60001,Ecom,2026,1,20,0.04
60001,Ecom,2024,2,20,0.02
60001,Ecom,2025,2,27,0.02
60001,Ecom,2026,2,25,0.03
60001,Ecom,2024,3,29,0.02
60001,Ecom,2025,3,30,0.04
60001,Ecom,2026,3,29,0.02
60001,Ecom,2024,4,37,0.02
60001,Ecom,2025,4,35,0.03
60001,Ecom,2026,4,43,0.03
60001,Ecom,2024,5,33,0.02
60001,Ecom,2025,5,38,0.03
60001,Ecom,2026,5,48,0.02
60001,Ecom,2024,6,49,0.04
60001,Ecom,2025,6,45,0.02
60001,Ecom,2026,6,60,0.03
60001,Ecom,2024,7,52,0.02
60001,Ecom,2025,7,60,0.02
60001,Ecom,2026,7,60,0.03
60001,Ecom,2024,8,55,0.03
60001,Ecom,2025,8,77,0.04
60001,Ecom,2026,8,75,0.03
60001,Ecom,2024,9,71,0.03
60001,Ecom,2025,9,74,0.04
60001,Ecom,2026,9,93,0.03
60001,Ecom,2024,10,72,0.04
60001,Ecom,2025,10,72,0.03
60001,Ecom,2026,10,100,0.03
60001,Ecom,2024,11,96,0.03
60001,Ecom,2025,11,95,0.02
60001,Ecom,2026,11,111,0.02
60001,Ecom,2024,12,98,0.03
60001,Ecom,2025,12,131,0.03
60001,Ecom,2026,12,143,0.02
60001,Ecom,2024,13,109,0.02
60001,Ecom,2025,13,107,0.02
60001,Ecom,2026,13,157,0.04
60001,Ecom,2024,14,112,0.03
60001,Ecom,2025,14,133,0.02
60001,Ecom,2026,14,165,0.03
60001,Ecom,2024,15,149,0.02
60001,Ecom,2025,15,167,0.02
60001,Ecom,2026,15,146,0.04
60001,Ecom,2024,16,183,0.02
60001,Ecom,2025,16,153,0.04
60001,Ecom,2026,16,179,0.04
60001,Ecom,2024,17,161,0.02
60001,Ecom,2025,17,195,0.02
60001,Ecom,2026,17,184,0.03
60001,Ecom,2024,18,206,0.03
60001,Ecom,2025,18,172,0.04
60001,Ecom,2026,18,245,0.04
60001,Ecom,2024,19,229,0.02
60001,Ecom,2025,19,233,0.04
60001,Ecom,2026,19,199,0.04
60001,Ecom,2024,20,175,0.04
60001,Ecom,2025,20,247,0.02
60001,Ecom,2026,20,269,0.02
60001,Ecom,2024,21,242,0.02
60001,Ecom,2025,21,267,0.03
60001,Ecom,2026,21,251,0.03
60001,Ecom,2024,22,252,0.03
60001,Ecom,2025,22,196,0.03
60001,Ecom,2026,22,254,0.02
60001,Ecom,2024,23,193,0.04
60001,Ecom,2025,23,232,0.02
60001,Ecom,2026,23,278,0.04
60001,Ecom,2024,24,265,0.04
60001,Ecom,2025,24,273,0.02
60001,Ecom,2026,24,258,0.04
60001,Ecom,2024,25,200,0.04
60001,Ecom,2025,25,241,0.03
60001,Ecom,2024,26,211,0.04
60001,Ecom,2025,26,292,0.04
60001,Ecom,2024,27,210,0.05
60001,Ecom,2025,27,240,0.05
60001,Ecom,2024,28,206,0.07
60001,Ecom,2025,28,282,0.08
60001,Ecom,2024,29,236,0.06
60001,Ecom,2025,29,255,0.09
60001,Ecom,2024,30,239,0.09
60001,Ecom,2025,30,233,0.09
60001,Ecom,2024,31,214,0.08
60001,Ecom,2025,31,200,0.09
60001,Ecom,2024,32,188,0.09
60001,Ecom,2025,32,224,0.11
60001,Ecom,2024,33,212,0.1
60001,Ecom,2025,33,187,0.13
60001,Ecom,2024,34,215,0.12
60001,Ecom,2025,34,179,0.12
60001,Ecom,2024,35,174,0.13
60001,Ecom,2025,35,162,0.15
60001,Ecom,2024,36,175,0.14
60001,Ecom,2025,36,181,0.16
60001,Ecom,2024,37,141,0.14
60001,Ecom,2025,37,131,0.18
60001,Ecom,2024,38,155,0.17
60001,Ecom,2025,38,123,0.19
60001,Ecom,2024,39,109,0.17
60001,Ecom,2025,39,129,0.21
60001,Ecom,2024,40,108,0.18
60001,Ecom,2025,40,131,0.2
60001,Ecom,2024,41,103,0.22
60001,Ecom,2025,41,96,0.23
60001,Ecom,2024,42,90,0.22
60001,Ecom,2025,42,89,0.24
60001,Ecom,2024,43,68,0.24
60001,Ecom,2025,43,85,0.23
60001,Ecom,2024,44,74,0.24
60001,Ecom,2025,44,68,0.27
60001,Ecom,2024,45,50,0.25
60001,Ecom,2025,45,59,0.27
60001,Ecom,2024,46,46,0.27
60001,Ecom,2025,46,43,0.27
60001,Ecom,2024,47,38,0.26
60001,Ecom,2025,47,40,0.3
60001,Ecom,2024,48,36,0.3
60001,Ecom,2025,48,30,0.32
60001,Ecom,2024,49,24,0.3
60001,Ecom,2025,49,30,0.33
60001,Ecom,2024,50,22,0.29
60001,Ecom,2025,50,26,0.32
60001,Ecom,2024,51,21,0.33
60001,Ecom,2025,51,22,0.34
60001,Ecom,2024,52,16,0.32
60001,Ecom,2025,52,14,0.35
60001,Indirect,2024,1,9,0.03
60001,Indirect,2025,1,10,0.03
60001,Indirect,2026,1,11,0.03
60001,Indirect,2024,2,11,0.03
60001,Indirect,2025,2,13,0.03
60001,Indirect,2026,2,11,0.03
60001,Indirect,2024,3,15,0.04
60001,Indirect,2025,3,16,0.04
60001,Indirect,2026,3,20,0.02
60001,Indirect,2024,4,18,0.04
60001,Indirect,2025,4,20,0.04
60001,Indirect,2026,4,23,0.04
60001,Indirect,2024,5,19,0.02
60001,Indirect,2025,5,22,0.02
60001,Indirect,2026,5,26,0.04
60001,Indirect,2024,6,27,0.04
60001,Indirect,2025,6,29,0.02
60001,Indirect,2026,6,28,0.02
60001,Indirect,2024,7,31,0.04
60001,Indirect,2025,7,31,0.02
60001,Indirect,2026,7,32,0.02
60001,Indirect,2024,8,34,0.02
60001,Indirect,2025,8,42,0.02
60001,Indirect,2026,8,46,0.02
60001,Indirect,2024,9,47,0.04
60001,Indirect,2025,9,35,0.03
60001,Indirect,2026,9,47,0.04
60001,Indirect,2024,10,52,0.03
60001,Indirect,2025,10,47,0.04
60001,Indirect,2026,10,55,0.04
60001,Indirect,2024,11,45,0.04
60001,Indirect,2025,11,54,0.04
60001,Indirect,2026,11,67,0.03
60001,Indirect,2024,12,59,0.03
60001,Indirect,2025,12,67,0.02
