hierarchy_code,open_wos,commit_through,commit_mult
60001,5,33,1.0
60002,5,33,1.0
60003,5,33,1.0
60004,5,33,1.0
60005,5,33,1.0
60006,5,33,1.0
60007,3,30,1.0
60008,3,30,1.0
60009,3,30,1.0
60010,4,36,1.0
60011,4,33,1.0
60012,4,33,1.0
60013,4,33,1.0
60014,3,33,1.0
60015,3,33,1.0
60016,3,33,1.0
60017,4,30,1.0
60018,4,30,1.0
60019,4,30,1.0
60020,3,33,1.0
60021,3,30,1.0
60022,3,36,1.0
60023,4,36,1.0
60024,3,33,1.0
60025,4,33,1.0
60026,3,33,1.0
60027,3,30,1.0
60028,3,30,1.0
60029,3,33,1.0
60030,4,30,1.0
60031,4,33,1.0
60032,4,33,1.0
60033,3,33,1.0
60034,4,30,1.0
60035,4,30,1.0
60036,4,30,1.0
60037,3,33,1.0
60038,3,30,1.0
60039,3,33,1.0
60040,3,36,1.0
60041,3,33,1.0
60042,3,30,1.0
60043,4,36,1.0
60044,3,36,1.0
60045,4,36,1.0
60046,3,33,1.0
60047,4,36,1.0
60048,4,36,1.0
60049,4,30,1.0
60050,3,30,1.0
60051,3,36,1.0
60052,4,33,1.0
60053,4,36,1.0
60054,4,33,1.0
60055,4,33,1.0
60056,3,36,1.0
60057,4,36,1.0
60058,3,30,1.0
60059,4,36,1.0
60060,4,36,1.0
