hierarchy_code,channel,budget
70001,Ecom,104000
70001,Indirect,62000
70001,Store,41000
70002,Ecom,161000
70002,Indirect,96000
70002,Store,64000
70003,Ecom,192000
70003,Indirect,115000
70003,Store,77000
70004,Ecom,196000
70004,Indirect,117000
70004,Store,78000
70005,Ecom,128000
70005,Indirect,76000
70005,Store,51000
70006,Ecom,106000
70006,Indirect,63000
70006,Store,42000
70007,Ecom,57000
70007,Indirect,34000
70007,Store,23000
70008,Ecom,218000
70008,Indirect,131000
70008,Store,87000
70009,Ecom,282000
70009,Indirect,169000
70009,Store,113000
70010,Ecom,148000
70010,Indirect,88000
70010,Store,59000
70011,Ecom,284000
70011,Indirect,170000
70011,Store,113000
70012,Ecom,248000
70012,Indirect,149000
70012,Store,99000
70013,Ecom,278000
70013,Indirect,167000
70013,Store,111000
70014,Ecom,79000
70014,Indirect,47000
70014,Store,31000
70015,Ecom,70000
70015,Indirect,42000
70015,Store,28000
70016,Ecom,170000
70016,Indirect,102000
70016,Store,68000
70017,Ecom,225000
70017,Indirect,135000
70017,Store,90000
70018,Ecom,276000
70018,Indirect,165000
70018,Store,110000
70019,Ecom,269000
70019,Indirect,161000
70019,Store,107000
70020,Ecom,146000
70020,Indirect,88000
70020,Store,58000
70021,Ecom,280000
70021,Indirect,168000
70021,Store,112000
70022,Ecom,95000
70022,Indirect,57000
70022,Store,38000
70023,Ecom,66000
70023,Indirect,39000
70023,Store,26000
70024,Ecom,284000
70024,Indirect,170000
70024,Store,113000
70025,Ecom,283000
70025,Indirect,170000
70025,Store,113000
70026,Ecom,287000
70026,Indirect,172000
70026,Store,115000
70027,Ecom,120000
70027,Indirect,72000
70027,Store,48000
70028,Ecom,100000
70028,Indirect,60000
70028,Store,40000
70029,Ecom,146000
70029,Indirect,88000
70029,Store,58000
70030,Ecom,92000
70030,Indirect,55000
70030,Store,36000
70031,Ecom,66000
70031,Indirect,39000
70031,Store,26000
70032,Ecom,184000
70032,Indirect,110000
70032,Store,73000
70033,Ecom,299000
70033,Indirect,179000
70033,Store,119000
70034,Ecom,241000
70034,Indirect,144000
70034,Store,96000
70035,Ecom,191000
70035,Indirect,115000
70035,Store,76000
70036,Ecom,87000
70036,Indirect,52000
70036,Store,35000
70037,Ecom,226000
70037,Indirect,136000
70037,Store,90000
70038,Ecom,115000
70038,Indirect,69000
70038,Store,46000
70039,Ecom,65000
70039,Indirect,39000
70039,Store,26000
70040,Ecom,102000
70040,Indirect,61000
70040,Store,40000
70041,Ecom,471000
70041,Indirect,282000
70041,Store,188000
70042,Ecom,96000
70042,Indirect,57000
70042,Store,38000
70043,Ecom,385000
70043,Indirect,231000
70043,Store,154000
70044,Ecom,158000
70044,Indirect,95000
70044,Store,63000
70045,Ecom,239000
70045,Indirect,143000
70045,Store,95000
70046,Ecom,194000
70046,Indirect,116000
70046,Store,77000
70047,Ecom,141000
70047,Indirect,84000
70047,Store,56000
70048,Ecom,313000
70048,Indirect,187000
70048,Store,125000
70049,Ecom,316000
70049,Indirect,190000
70049,Store,126000
70050,Ecom,151000
70050,Indirect,90000
70050,Store,60000
70051,Ecom,421000
70051,Indirect,252000
70051,Store,168000
70052,Ecom,115000
70052,Indirect,69000
70052,Store,46000
70053,Ecom,270000
70053,Indirect,162000
70053,Store,108000
70054,Ecom,100000
70054,Indirect,60000
70054,Store,40000
70055,Ecom,72000
70055,Indirect,43000
70055,Store,28000
70056,Ecom,126000
70056,Indirect,75000
70056,Store,50000
70057,Ecom,256000
70057,Indirect,153000
70057,Store,102000
70058,Ecom,291000
70058,Indirect,174000
70058,Store,116000
70059,Ecom,198000
70059,Indirect,119000
70059,Store,79000
70060,Ecom,109000
70060,Indirect,65000
70060,Store,43000
