hierarchy_code,channel,year,week_num,units,discount_perc
70001,Ecom,2024,1,7,0.11
70001,Indirect,2024,1,4,0.18
70001,Store,2024,1,3,0.09
70001,Ecom,2024,2,8,0.12
70001,Indirect,2024,2,4,0.04
70001,Store,2024,2,3,0.1
70001,Ecom,2024,3,8,0.16
70001,Indirect,2024,3,5,0.02
70001,Store,2024,3,3,0.06
70001,Ecom,2024,4,6,0.16
70001,Indirect,2024,4,3,0.14
70001,Store,2024,4,2,0.01
70001,Ecom,2024,5,10,0.19
70001,Indirect,2024,5,6,0.13
70001,Store,2024,5,4,0.12
70001,Ecom,2024,6,6,0.0
70001,Indirect,2024,6,3,0.11
70001,Store,2024,6,2,0.01
70001,Ecom,2024,7,6,0.05
70001,Indirect,2024,7,3,0.01
70001,Store,2024,7,2,0.09
70001,Ecom,2024,8,7,0.17
70001,Indirect,2024,8,4,0.1
70001,Store,2024,8,3,0.13
70001,Ecom,2024,9,7,0.13
70001,Indirect,2024,9,4,0.09
70001,Store,2024,9,3,0.06
70001,Ecom,2024,10,10,0.2
70001,Indirect,2024,10,6,0.17
70001,Store,2024,10,4,0.14
70001,Ecom,2024,11,7,0.05
70001,Indirect,2024,11,4,0.06
70001,Store,2024,11,2,0.01
70001,Ecom,2024,12,9,0.08
70001,Indirect,2024,12,5,0.17
70001,Store,2024,12,3,0.08
70001,Ecom,2024,13,10,0.17
70001,Indirect,2024,13,6,0.0
70001,Store,2024,13,4,0.04
70001,Ecom,2024,14,9,0.09
70001,Indirect,2024,14,5,0.2
70001,Store,2024,14,3,0.08
70001,Ecom,2024,15,5,0.13
70001,Indirect,2024,15,3,0.16
70001,Store,2024,15,2,0.05
70001,Ecom,2024,16,6,0.07
70001,Indirect,2024,16,3,0.19
70001,Store,2024,16,2,0.15
70001,Ecom,2024,17,6,0.05
70001,Indirect,2024,17,3,0.02
70001,Store,2024,17,2,0.01
70001,Ecom,2024,18,9,0.04
70001,Indirect,2024,18,5,0.11
70001,Store,2024,18,3,0.09
70001,Ecom,2024,19,6,0.15
70001,Indirect,2024,19,3,0.03
70001,Store,2024,19,2,0.13
70001,Ecom,2024,20,6,0.08
70001,Indirect,2024,20,3,0.04
70001,Store,2024,20,2,0.05
70001,Ecom,2024,21,10,0.16
70001,Indirect,2024,21,6,0.06
70001,Store,2024,21,4,0.18
70001,Ecom,2024,22,6,0.08
70001,Indirect,2024,22,3,0.17
70001,Store,2024,22,2,0.13
70001,Ecom,2024,23,6,0.2
70001,Indirect,2024,23,3,0.04
70001,Store,2024,23,2,0.05
70001,Ecom,2024,24,9,0.07
70001,Indirect,2024,24,5,0.06
70001,Store,2024,24,3,0.01
70001,Ecom,2024,25,6,0.12
70001,Indirect,2024,25,3,0.05
70001,Store,2024,25,2,0.12
70001,Ecom,2024,26,7,0.09
70001,Indirect,2024,26,4,0.19
70001,Store,2024,26,2,0.1
70001,Ecom,2024,27,8,0.17
70001,Indirect,2024,27,4,0.04
70001,Store,2024,27,3,0.03
70001,Ecom,2024,28,9,0.16
70001,Indirect,2024,28,5,0.05
70001,Store,2024,28,3,0.04
70001,Ecom,2024,29,9,0.19
70001,Indirect,2024,29,5,0.04
70001,Store,2024,29,3,0.19
70001,Ecom,2024,30,9,0.12
70001,Indirect,2024,30,5,0.08
70001,Store,2024,30,3,0.02
70001,Ecom,2024,31,5,0.19
70001,Indirect,2024,31,3,0.05
70001,Store,2024,31,2,0.14
70001,Ecom,2024,32,6,0.16
70001,Indirect,2024,32,3,0.12
70001,Store,2024,32,2,0.06
70001,Ecom,2024,33,6,0.14
70001,Indirect,2024,33,3,0.01
70001,Store,2024,33,2,0.05
70001,Ecom,2024,34,8,0.17
70001,Indirect,2024,34,4,0.12
70001,Store,2024,34,3,0.06
70001,Ecom,2024,35,10,0.04
70001,Indirect,2024,35,6,0.0
70001,Store,2024,35,4,0.05
70001,Ecom,2024,36,7,0.01
70001,Indirect,2024,36,4,0.04
70001,Store,2024,36,3,0.07
70001,Ecom,2024,37,8,0.03
70001,Indirect,2024,37,4,0.07
70001,Store,2024,37,3,0.18
70001,Ecom,2024,38,10,0.13
70001,Indirect,2024,38,6,0.14
70001,Store,2024,38,4,0.12
70001,Ecom,2024,39,6,0.01
70001,Indirect,2024,39,3,0.0
70001,Store,2024,39,2,0.18
70001,Ecom,2024,40,8,0.19
70001,Indirect,2024,40,5,0.0
70001,Store,2024,40,3,0.13
70001,Ecom,2024,41,7,0.15
70001,Indirect,2024,41,4,0.06
70001,Store,2024,41,3,0.2
70001,Ecom,2024,42,5,0.11
70001,Indirect,2024,42,3,0.15
70001,Store,2024,42,2,0.18
70001,Ecom,2024,43,9,0.14
70001,Indirect,2024,43,5,0.16
70001,Store,2024,43,3,0.18
70001,Ecom,2024,44,7,0.14
70001,Indirect,2024,44,4,0.18
70001,Store,2024,44,2,0.17
70001,Ecom,2024,45,7,0.16
70001,Indirect,2024,45,4,0.17
70001,Store,2024,45,3,0.11
70001,Ecom,2024,46,8,0.08
70001,Indirect,2024,46,5,0.12
70001,Store,2024,46,3,0.12
70001,Ecom,2024,47,5,0.13
70001,Indirect,2024,47,3,0.2
70001,Store,2024,47,2,0.18
70001,Ecom,2024,48,9,0.08
70001,Indirect,2024,48,5,0.15
70001,Store,2024,48,3,0.12
70001,Ecom,2024,49,7,0.17
70001,Indirect,2024,49,4,0.02
70001,Store,2024,49,3,0.15
70001,Ecom,2024,50,5,0.12
70001,Indirect,2024,50,3,0.1
70001,Store,2024,50,2,0.05
70001,Ecom,2024,51,8,0.1
70001,Indirect,2024,51,5,0.12
70001,Store,2024,51,3,0.18
70001,Ecom,2024,52,6,0.0
70001,Indirect,2024,52,3,0.06
