hierarchy_code,open_wos,commit_through,commit_mult
70001,4,33,1.0
70002,4,33,1.0
70003,4,33,1.0
70004,4,33,1.0
70005,4,33,1.0
70006,4,33,1.0
70007,4,33,1.0
70008,4,33,1.0
70009,4,33,1.0
70010,4,33,1.0
70011,4,33,1.0
70012,4,33,1.0
70013,4,33,1.0
70014,4,33,1.0
70015,4,33,1.0
70016,4,33,1.0
70017,4,33,1.0
70018,4,33,1.0
70019,4,33,1.0
70020,4,33,1.0
70021,4,33,1.0
70022,4,33,1.0
70023,4,33,1.0
70024,4,33,1.0
70025,4,33,1.0
70026,4,33,1.0
70027,4,33,1.0
70028,4,33,1.0
70029,4,33,1.0
70030,4,33,1.0
70031,4,33,1.0
70032,4,33,1.0
70033,4,33,1.0
70034,4,33,1.0
70035,4,33,1.0
70036,4,33,1.0
70037,4,33,1.0
70038,4,33,1.0
70039,4,33,1.0
70040,4,33,1.0
70041,4,33,1.0
70042,4,33,1.0
70043,4,33,1.0
70044,4,33,1.0
70045,4,33,1.0
70046,4,33,1.0
70047,4,33,1.0
70048,4,33,1.0
70049,4,33,1.0
70050,4,33,1.0
70051,4,33,1.0
70052,4,33,1.0
70053,4,33,1.0
70054,4,33,1.0
70055,4,33,1.0
70056,4,33,1.0
70057,4,33,1.0
70058,4,33,1.0
70059,4,33,1.0
70060,4,33,1.0
